prompt,reference_images
Make the picture seem like it was taken outdoors at food festival,image1.png
change the color of shirt to gray,image2.png
Take away the tallest tree from the image.,image3.png
Close the umbrella that the woman is holding.,image4.png
turn the street light into a flag pole,image5.png
Make him grow long hair,image6.png
Remove the boxes from the photo,image7.png
Remove the person from the top of the boat cabin.,image8.png
把背景p成上海外滩,image9.png
请将这幅图p成韩系帅哥,image10.png
帮我加一个墨镜，要帅气风格的,image11.png
将这张图片变成现实风格,image12.png
